SUMIF — Total Sales by Category,,,
"SUMIF(range, criteria, sum_range) adds up Amount wherever Category matches",,,
Category,Product,Amount,
Electronics,Wireless Mouse,1250,
Groceries,Basmati Rice 5kg,650,
Electronics,USB-C Cable,400,
Stationery,Notebook Pack,220,
Groceries,Cooking Oil 1L,180,
Electronics,Bluetooth Speaker,2200,
Stationery,Gel Pens Box,150,
Groceries,Atta 10kg,480,
Electronics,Phone Charger,550,
Stationery,Sticky Notes,90,
Category Totals,,,
Category,Total Amount,,
Electronics,4400,,
Groceries,1310,,
Stationery,460,,
"Formula (as text): =SUMIF($A$5:$A$14,A18,$C$5:$C$14)",,,
